"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"185",86,15806041,876.7,1,841.6,560.6,19,0.74,551.2,15806059
"186",65,15807161,956.5,1,910.4,543.5,19,0.95,551,15807179
"187",366,15807297,1316.5,1,965.7,550.5,50,7.09,559.5,15807346
"188",613,15807547,414.4,1,1323.5,556.8,67,18.04,516.3,15807613
"189",111,15807958,380.8,1,416.6,538,21,1.08,578.9,15807978
"190",521,15808333,1364.7,1,386.4,575.2,61,19.3,553.2,15808393
"191",637,15809115,1210.3,1,1364.3,579.7,214,12.79,1222,15809328
"192",296,15809592,1282.2,1,1219.9,1185.3,46,6.8,836.8,15809637
"193",298,15809881,1017.1,1,1305.1,838.6,55,8.72,515,15809935
"194",313,15811171,653,1,1013.4,536.7,45,7.37,488.8,15811215
"195",313,15811598,1013,1,649.2,486.9,41,7.38,498.8,15811638
"196",256,15812872,864.8,1,988.6,510.7,34,2.55,531.3,15812905
"197",280,15814028,422.4,1,866.6,556.2,60,9.1,459.7,15814087
"198",136,15814307,409.2,1,421.3,474.3,22,1.52,548.4,15814328
"199",415,15814524,1383,1,420.7,539.1,114,19.04,528.6,15814637
"200",618,15815016,443.7,1,1393.6,545.4,60,18.87,474.1,15815075
"201",88,15817943,523.9,1,479.2,474.6,16,0.91,483,15817958
"202",395,15818248,0.6,1,540.2,471.4,49,10.3,480,15818296
"203",329,15818555,552.9,1,42.9,475.3,47,9.79,469.1,15818601
"204",354,15819717,894.8,1,573.6,469.6,51,6.65,540.4,15819767
"205",136,15820021,876.9,1,910,552.5,29,0.7,542.8,15820049
"206",377,15821016,476.4,1,883.1,551.4,42,8.18,522,15821057
"207",65,15821599,487.5,1,501.2,524.8,17,0.33,534,15821615
"208",434,15822325,1296.4,1,493.7,532.9,69,16.04,494.9,15822393
"209",197,15822603,1384.7,1,1303.1,498.9,31,1.67,516,15822633
"210",585,15822810,491.5,1,1390.9,516,66,17.88,556.9,15822875
"211",217,15824835,785.8,1,467.6,560.1,48,6.37,577.1,15824882
"212",42,15826663,978.8,1,962.6,582.8,9,0.34,587.6,15826671
"213",217,15826826,896.7,1,989.3,588.7,30,2.02,553.6,15826855
"214",128,15827654,935.2,1,869.4,539.3,20,1.38,555.2,15827673
"215",168,15827897,1150.5,1,932.5,543.3,42,4.48,510.9,15827938
"216",509,15828162,466.6,1,1161,513.8,51,13.94,474.5,15828212
"217",101,15828673,577.8,1,503.3,487.8,22,1.59,515.5,15828694
